,Observation station,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Date
353,Helsinki Kaisaniemi,-1.0,0,-2.3,2000-12-19
354,Helsinki Kaisaniemi,-1.0,0,-3.6,2000-12-20
355,Helsinki Kaisaniemi,-1.0,0,-5.4,2000-12-21
356,Helsinki Kaisaniemi,1.1,0,-1.3,2000-12-22
357,Helsinki Kaisaniemi,0.2,0,0.1,2000-12-23
358,Helsinki Kaisaniemi,0.2,0,-3.1,2000-12-24
359,Helsinki Kaisaniemi,0.1,1,-9.2,2000-12-25
360,Helsinki Kaisaniemi,-1.0,1,-5.2,2000-12-26
361,Helsinki Kaisaniemi,-1.0,1,-2.7,2000-12-27
362,Helsinki Kaisaniemi,-1.0,1,-4.0,2000-12-28
363,Helsinki Kaisaniemi,5.3,1,-4.5,2000-12-29
364,Helsinki Kaisaniemi,-1.0,5,2.1,2000-12-30
365,Helsinki Kaisaniemi,6.6,3,-0.1,2000-12-31
366,Helsinki Kaisaniemi,0.7,4,1.7,2001-01-01
367,Helsinki Kaisaniemi,1.5,3,0.1,2001-01-02
368,Helsinki Kaisaniemi,0.2,6,-0.1,2001-01-03
369,Helsinki Kaisaniemi,3.5,6,0.6,2001-01-04
370,Helsinki Kaisaniemi,0.0,5,2.3,2001-01-05
371,Helsinki Kaisaniemi,9.9,2,1.4,2001-01-06
372,Helsinki Kaisaniemi,2.3,11,-0.3,2001-01-07
373,Helsinki Kaisaniemi,1.1,12,3.1,2001-01-08
374,Helsinki Kaisaniemi,2.0,2,3.2,2001-01-09
375,Helsinki Kaisaniemi,0.0,0,0.4,2001-01-10
376,Helsinki Kaisaniemi,0.6,0,-4.1,2001-01-11
377,Helsinki Kaisaniemi,-1.0,2,-4.8,2001-01-12
378,Helsinki Kaisaniemi,-1.0,2,-2.8,2001-01-13
379,Helsinki Kaisaniemi,-1.0,1,0.2,2001-01-14
380,Helsinki Kaisaniemi,-1.0,1,0.4,2001-01-15
381,Helsinki Kaisaniemi,-1.0,0,-0.1,2001-01-16
382,Helsinki Kaisaniemi,0.0,0,-2.3,2001-01-17
383,Helsinki Kaisaniemi,-1.0,0,-2.1,2001-01-18
384,Helsinki Kaisaniemi,0.6,0,0.0,2001-01-19
385,Helsinki Kaisaniemi,0.0,1,-1.1,2001-01-20
386,Helsinki Kaisaniemi,-1.0,1,-3.8,2001-01-21
387,Helsinki Kaisaniemi,-1.0,1,-4.4,2001-01-22
388,Helsinki Kaisaniemi,0.0,1,-5.8,2001-01-23
389,Helsinki Kaisaniemi,5.5,1,-4.0,2001-01-24
390,Helsinki Kaisaniemi,8.8,9,-1.6,2001-01-25
391,Helsinki Kaisaniemi,3.4,13,1.7,2001-01-26
392,Helsinki Kaisaniemi,7.4,12,0.6,2001-01-27
393,Helsinki Kaisaniemi,0.2,10,0.7,2001-01-28
394,Helsinki Kaisaniemi,5.5,9,0.7,2001-01-29
395,Helsinki Kaisaniemi,0.2,15,-3.2,2001-01-30
396,Helsinki Kaisaniemi,0.1,15,-7.7,2001-01-31
397,Helsinki Kaisaniemi,0.6,15,-9.6,2001-02-01
398,Helsinki Kaisaniemi,-1.0,14,-17.6,2001-02-02
399,Helsinki Kaisaniemi,0.4,13,-21.6,2001-02-03
400,Helsinki Kaisaniemi,2.9,15,-20.9,2001-02-04
